race_id	枠	馬番	馬名	性齢	斤量	騎手	厩舎	馬体重(増減)	人気	グループ	予想オッズ	horse_id	jockey_id	trainer_id
202405050812	1	1	ゴリアット	セ4	58.0	スミヨン	海外グラファー	495(0)	9		19.3	2020190005	05271	05701
202405050812	2	2	ブローザホーン	牡5	58.0	菅原明	栗東吉岡	432(6)	10		34.1	2019105748	01179	01176
202405050812	3	3	ドウデュース	牡5	58.0	武豊	栗東友道	518(14)	1		2.4	2019105283	00666	01061
202405050812	3	4	ジャスティンパレス	牡5	58.0	Ｃデムーロ	栗東杉山晴	472(2)	3		7.1	2019105346	05473	01157
202405050812	4	5	シュトルーヴェ	セ5	58.0	鮫島駿	美浦堀	484(14)	11		40.7	2019104447	01157	01070
202405050812	4	6	ダノンベルーガ	牡5	58.0	松山	美浦堀	502(4)	12		61.1	2019105195	01126	01070
202405050812	5	7	シンエンペラー	牡3	56.0	坂井	栗東矢作	490(0)	7		14.8	2021110048	01163	01075
202405050812	5	8	オーギュストロダン	牡4	58.0	ムーア	海外Ａオブライ	452(0)	5		12.6	2020190003	05366	05518
202405050812	6	9	チェルヴィニア	牝3	54.0	ルメール	美浦木村	502(12)	2		3.3	2021105643	05339	01126
202405050812	6	10	ドゥレッツァ	牡4	58.0	ビュイック	美浦尾関	472(0)	6		12.8	2020103650	05495	01103
202405050812	7	11	カラテ	牡8	58.0	杉原	栗東音無	542(16)	14		279.0	2016106606	01135	01002
202405050812	7	12	ソールオリエンス	牡4	58.0	横山武	美浦手塚	484(16)	8		15.8	2020102899	01170	01038
202405050812	8	13	ファンタスティックムーン	牡4	58.0	ピーヒュレ	海外シュタイン	438(0)	13		125.7	2020190004	05661	90483
202405050812	8	14	スターズオンアース	牝5	56.0	川田	美浦高柳瑞	510(0)	4		10.6	2019104740	01088	01118